key,2,7
#,GridText,Text
offset,4,0
int32,str,str
0,,無
1,,★ 相片
2,,★ 拍立得
3,,★ 電影
4,,★ 浮世繪
5,,★ 上下裝飾1
6,,★ 上下裝飾2
7,,★ 壁式畫框
8,,★ 不規則
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,◆ 簡潔1
18,,◆ 日記
19,,◆ 永結同心
20,,◆ 怪物狩獵1
21,GroupPoseFrame9grid001,◆ 相片
22,GroupPoseFrame9grid002,◆ 拍立得
23,GroupPoseFrame9grid003,◆ 電影
24,,◆ 怪物狩獵2
25,,◆ 九宮幻卡1
26,,◆ 九宮幻卡2
27,,◆ 簡潔2
28,,◆ 碧海內牆
29,,◆ 密林內牆
30,,◆ 黃沙內牆
31,,
32,,
33,,
34,,
35,,
36,,
37,,
38,,◆ 簡潔3
39,,◆ <hex:0212027103>嘉年華特製邊框1
40,,◆ <hex:0212027103>嘉年華特製邊框2
41,,◆ <hex:0212027103>嘉年華特製邊框3
42,,◆ <hex:0212027103>嘉年華特製邊框4
43,,◆ <hex:0212027103>嘉年華特製邊框5
44,,◆ <hex:0212027103>嘉年華特製邊框6
45,,◆ <hex:0212027103>嘉年華特製邊框7
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,◆ 五線譜
